AQSID,SiteName,Latitude,Longitude,CountyName,parameter name
10030010,FAIRHOPE,30.4889,-87.8706,BALDWIN,"['OZONE', 'PM2.5']"
10510004,Wetumpka Tech Park,32.535681,-86.255193,ELMORE,['OZONE']
10550010,GADSDEN,33.991341,-85.992653,ETOWAH,['PM2.5']
10550011,Southside,33.9,-86.05,ETOWAH,['OZONE']
10730023,NO. BHAM,33.5531,-86.815,JEFFERSON,"['PM10', 'OZONE', 'PM2.5']"
10731003,FAIRFIELD,33.4856,-86.915,JEFFERSON,['OZONE']
10731005,MCADORY,33.3311,-87.0036,JEFFERSON,"['OZONE', 'PM2.5']"
10731010,LEEDS,33.5453,-86.5492,JEFFERSON,"['PM10', 'OZONE', 'PM2.5']"
10732003,WYLAM,33.4997,-86.9242,JEFFERSON,"['PM10', 'PM2.5']"
10735003,CORNER,33.8017,-86.9425,JEFFERSON,"['OZONE', 'PM2.5']"
10736002,TARRANT,33.5783,-86.7739,JEFFERSON,['OZONE']
10736004,Shuttlesworth,33.565278,-86.796389,JEFFERSON,"['PM10', 'PM2.5']"
10890022,Huntsville Capshaw,34.7727,-86.7561,MADISON,['OZONE']
10970003,Chickasaw,30.7697,-88.0875,MOBILE,"['OZONE', 'PM2.5', 'SO2']"
10972005,BAYROAD,30.4744,-88.1411,MOBILE,['OZONE']
11011002,MONTG,32.412811,-86.263394,MONTGOMERY,"['OZONE', 'PM2.5']"
11030011,DECATUR,34.5286,-86.9706,MORGAN,"['OZONE', 'PM2.5']"
11170004,HELENA,33.3169,-86.825,SHELBY,['OZONE']
11179001,Montevallo,33.0928,-86.8072,SHELBY,['SO2']
11190003,Ward,32.36253,-88.27792,SUMTER,"['OZONE', 'PM2.5', 'SO2']"
20200018,Garden,61.205861,-149.8246,ANCHORAGE,"['PM10', 'CO', 'PM2.5']"
20200045,Laurel,61.181117,-149.834,ANCHORAGE,['PM10']
20680003,Denali NPP,63.723301,-148.967499,YUKON-KOYUKUK,['OZONE']
20900034,NCore,64.8458,-147.72727,FAIRBANKS NORTH STAR,"['CO', 'PM2.5', 'PM10', 'SO2', 'OZONE']"
20900035,Hurst Road,64.762973,-147.310297,FAIRBANKS NORTH STAR,['PM2.5']
20900040,A Street,64.845931,-147.693278,FAIRBANKS NORTH STAR,['PM2.5']
21100004,Floyd Dryden,58.388889,-134.565556,JUNEAU,"['PM10', 'PM2.5']"
21851111,BLM-Kaktovik,70.1319,-143.6239,NORTH SLOPE,"['NO2', 'CO', 'PM2.5', 'PM10', 'SO2', 'OZONE']"
40031005,Douglas Red Cross,31.3492,-109.539683,COCHISE,['PM10']
40038001,Chiricahua NM,32.009201,-109.389198,COCHISE,['OZONE']
40058001,Grand Canyon NP,36.055,-112.1531,COCONINO,['OZONE']
40070008,Payson Well Site,34.22934,-111.3297,GILA,['PM10']
40070011,Miami Jones Ranch,33.3855,-110.867267,GILA,['SO2']
40070012,Miami Town Site,33.397433,-110.87445,GILA,['SO2']
40071001,Hayden,33.006268,-110.786484,GILA,"['PM10', 'SO2']"
40071002,Hayden Globe Highway,33.002517,-110.765467,GILA,
40078000,Miami Golf Course,33.419017,-110.829667,GILA,['PM10']
40128000,Alamo Lake,34.243889,-113.558611,LA PAZ,"['PM10', 'OZONE', 'PM2.5']"
40130019,West Phoenix,33.483799,-112.142601,MARICOPA,"['NO2', 'CO', 'PM2.5', 'PM10', 'OZONE']"
40131004,North Phoenix,33.560299,-112.066299,MARICOPA,"['PM10', 'OZONE', 'PM2.5']"
40131030,Ft McD Yuma Frank-AZ,33.6292,-111.676903,MARICOPA,['PM10']
40133002,Central Phoenix,33.4579,-112.046,MARICOPA,"['NO2', 'CO', 'PM10', 'SO2', 'OZONE']"
40133003,South Scottsdale,33.4797,-111.9172,MARICOPA,"['PM10', 'OZONE']"
40134003,South Phoenix,33.4033,-112.0731,MARICOPA,"['PM10', 'OZONE', 'CO', 'PM2.5']"
40134005,Tempe,33.4124,-111.9347,MARICOPA,"['PM10', 'OZONE', 'PM2.5']"
40134006,Higley,33.309944,-111.720029,MARICOPA,['PM10']
40134008,Cave Creek,33.8217,-112.0174,MARICOPA,['OZONE']
40134009,West 43rd,33.406399,-112.144302,MARICOPA,['PM10']
40134010,Dysart,33.6369,-112.3394,MARICOPA,"['PM10', 'OZONE']"
40134011,Buckeye,33.37,-112.6207,MARICOPA,"['PM10', 'CO', 'NO2', 'OZONE']"
40134016,Zuni Hills,33.686741,-112.294167,MARICOPA,['PM10']
40134020,Thirty Third,33.461807,-112.128044,MARICOPA,['NO2']
40134021,Eastwood,33.41046,-112.002642,MARICOPA,"['CO', 'NO2', 'OZONE', 'PM2.5']"
40137020,Senior Center,33.4883,-111.855003,MARICOPA,"['PM10', 'OZONE']"
40137021,Red Mountain,33.5079,-111.754601,MARICOPA,['OZONE']
40137022,LEHI,33.474499,-111.805099,MARICOPA,"['PM10', 'OZONE']"
40137024,High School,33.507999,-111.837799,MARICOPA,"['PM10', 'OZONE']"
40139704,Fountain Hills,33.611,-111.7253,MARICOPA,['OZONE']
40139812,Durango Complex,33.4265,-112.1181,MARICOPA,"['PM10', 'PM2.5', 'SO2']"
40151003,Bullhead City,35.166111,-114.566111,MOHAVE,['PM10']
40170119,Petrified Forest NP,34.822498,-109.891899,NAVAJO,['OZONE']
40190001,Ajo,32.382034,-112.857452,PIMA,['PM10']
40190008,Corona de Tucson,32.004567,-110.792504,PIMA,['PM10']
40190011,Orange Grove,32.322573,-111.037709,PIMA,"['PM10', 'PM2.5']"
40190020,Rillito,32.414342,-111.154544,PIMA,['PM10']
40190021,Saguaro Monument,32.1764,-110.7378,PIMA,['OZONE']
40191001,South Tucson,32.202148,-110.967915,PIMA,['PM10']
40191020,Fairgrounds,32.0475,-110.7739,PIMA,['OZONE']
40191028,Children's Park Site,32.2953,-110.9822,PIMA,"['OZONE', 'PM2.5']"
40191030,Green Valley,31.8794,-110.9964,PIMA,"['PM10', 'OZONE', 'PM2.5']"
40191032,Rose Elementary,32.1731,-110.9797,PIMA,"['OZONE', 'PM2.5']"
40191034,Coachline,32.3806,-111.1272,PIMA,"['OZONE', 'PM2.5']"
40191113,Geronimo,32.25,-110.9667,PIMA,"['PM10', 'PM2.5']"
40210001,Casa Grande Downtown,32.877583,-111.752222,PINAL,"['PM10', 'PM2.5']"
40213001,AJ Maintenance Yard,33.421406,-111.543596,PINAL,['OZONE']
